Time(s),CH1(V),CH2(V),CH3(V)
-1.5720E-09,-8.774288E-02,-5.751231E-01,8.681320E-03
-1.4720E-09,-8.774288E-02,-5.530030E-01,8.681320E-03
-1.3720E-09,-8.774288E-02,-5.530030E-01,8.681320E-03
-1.2720E-09,-8.774288E-02,-5.308829E-01,8.681320E-03
-1.1720E-09,-8.774288E-02,-5.308829E-01,0.000000E+00
-1.0720E-09,-8.774288E-02,-5.087628E-01,0.000000E+00
-9.7200E-10,-8.774288E-02,-5.087628E-01,0.000000E+00
-8.7200E-10,-8.774288E-02,-4.866426E-01,0.000000E+00
-7.7200E-10,-8.774288E-02,-4.645225E-01,-8.681320E-03
-6.7200E-10,-8.774288E-02,-4.645225E-01,-1.736264E-02
-5.7200E-10,-8.774288E-02,-4.424024E-01,-2.604396E-02
-4.7200E-10,-8.774288E-02,-4.424024E-01,-5.208792E-02
-3.7200E-10,-8.774288E-02,-4.202823E-01,-7.813188E-02
-2.7200E-10,-8.774288E-02,-3.981622E-01,-1.128572E-01
-1.7200E-10,-8.774288E-02,-3.981622E-01,-1.562638E-01
-7.2000E-11,-8.774288E-02,-3.760420E-01,-2.170330E-01
2.8000E-11,-8.774288E-02,-3.760420E-01,-2.778022E-01
1.2800E-10,-8.774288E-02,-3.539219E-01,-3.385715E-01
2.2800E-10,-8.774288E-02,-3.539219E-01,-4.080220E-01
3.2800E-10,-8.774288E-02,-3.318018E-01,-4.774726E-01
4.2800E-10,-8.774288E-02,-3.318018E-01,-5.382418E-01
5.2800E-10,-8.774288E-02,-3.096817E-01,-5.990111E-01
6.2800E-10,-8.774288E-02,-3.096817E-01,-6.510990E-01
7.2800E-10,-8.774288E-02,-3.096817E-01,-6.945056E-01
8.2800E-10,-8.774288E-02,-3.096817E-01,-7.292309E-01
9.2800E-10,-8.774288E-02,-3.096817E-01,-7.552748E-01
1.0280E-09,-8.774288E-02,-2.875616E-01,-7.726374E-01
1.1280E-09,-8.774288E-02,-2.875616E-01,-7.900001E-01
1.2280E-09,-8.774288E-02,-2.875616E-01,-7.986814E-01
1.3280E-09,-8.774288E-02,-2.875616E-01,-7.986814E-01
1.4280E-09,-8.774288E-02,-2.875616E-01,-7.986814E-01
1.5280E-09,-8.774288E-02,-2.654414E-01,-8.073627E-01
1.6280E-09,-8.774288E-02,-2.654414E-01,-8.160440E-01
1.7280E-09,-8.774288E-02,-2.654414E-01,-8.160440E-01
